active;measurement_id;device_id;unit;measurement_index;Location_facility_id;time_min;time_max;output_format;;;;;;
false;eAcGridIn;SMA-3008628290-EDMM;Wh;1;;2022-03-21T14:37:50.004000Z;2026-01-15T06:19:50.002000Z;csv;;;;;;
false;eAcGridIn;SMA-3008628305-EDMM;Wh;1;;2023-01-05T12:28:50.005000Z;2023-11-20T09:18:50.003000Z;csv;;;;;;
false;eAcGridIn;VIC-GXHQ20503L3SA-41;Wh;1;;2021-11-09T09:25:50.001000Z;2026-03-17T12:42:50.002000Z;csv;;;;;;
false;eAcGridIn;VIC-GXHQ2050IDGL2-40;Wh;1;;2022-06-20T11:02:40.003000Z;2023-10-19T08:44:50.004000Z;csv;;;;;;
false;eAcGridIn;VIC-GXHQ2050KMJU3-41;Wh;1;;2021-11-26T09:25:50.001000Z;2025-05-21T20:22:50.002000Z;csv;;;;;;
false;eAcGridIn;VIC-GXHQ2050VUYBZ-40;Wh;1;;2022-02-08T09:27:50.002000Z;2025-10-03T12:36:50.001000Z;csv;;;;;;
false;eAcGridIn;VIC-GXHQ210433D7M-30;Wh;1;;2022-02-04T11:34:40.120000Z;2023-12-13T21:54:50.004000Z;csv;;;;;;
false;eAcGridIn;VIC-GXHQ210446DH3-30;Wh;1;;2022-02-04T11:34:40.120000Z;2023-10-18T11:26:50.004000Z;csv;;;;;;
false;eAcGridIn;VIC-GXHQ2104APHST-30;Wh;1;;2022-01-28T11:36:50.149000Z;2024-12-16T06:08:20.051000Z;csv;;;;;;
false;eAcGridIn;VIC-GXHQ2104GPEZ3-30;Wh;1;;2022-01-28T16:35:20.044000Z;2025-06-14T17:28:50.015000Z;csv;;;;;;
false;eAcGridIn;VIC-GXHQ2104J6HRH-30;Wh;1;;2022-03-18T10:23:50.001000Z;2026-03-17T12:42:50.005000Z;csv;;;;;;
false;eAcGridIn;VIC-GXHQ2104LN3BG-30;Wh;1;;2022-06-29T09:35:50.026000Z;2026-03-17T12:42:50.038000Z;csv;;;;;;
false;eAcGridIn;VIC-GXHQ2104PTK9Z-30;Wh;1;;2022-06-28T19:00:50.079000Z;2026-03-17T12:42:50.053000Z;csv;;;;;;
false;eAcGridIn;VIC-GXHQ2104SU78C-30;Wh;1;;2021-10-20T10:15:50.001000Z;2026-03-17T12:42:50.055000Z;csv;;;;;;
false;iAcGrid;SMA-3008628290-EDMM;A;1;;2022-02-18T14:44:50.016000Z;2026-03-26T17:39:50.010000Z;csv;;;;;;
false;iAcGrid;SMA-3008628290-EDMM;A;2;;2022-02-18T14:44:50.016000Z;2026-03-26T17:39:50.010000Z;csv;;;;;;
false;iAcGrid;SMA-3008628290-EDMM;A;3;;2022-02-18T14:44:50.016000Z;2026-03-26T17:39:50.010000Z;csv;;;;;;
false;pAcGrid;SMA-3008628290-EDMM;W;1;;2022-02-18T14:44:50.015000Z;2026-03-26T17:39:50.010000Z;csv;;;;;;
false;pAcGrid;SMA-3008628290-EDMM;W;2;;2022-02-18T14:44:50.015000Z;2026-03-26T17:39:50.010000Z;csv;;;;;;
false;pAcGrid;SMA-3008628290-EDMM;W;3;;2022-02-18T14:44:50.015000Z;2026-03-26T17:39:50.010000Z;csv;;;;;;
false;pAcPvTot;SMA-3008628290-EDMM;W;1;;2022-02-18T14:44:50.003000Z;2026-03-26T17:39:50.003000Z;csv;;;;;;
false;iBat;SMA-3011495435-SI;A;1;;2022-03-21T13:57:55.178000Z;2023-11-18T21:46:50.052000Z;csv;;;;;;
false;pBat;SMA-3011495435-SI;W;1;;2022-03-21T14:26:50.150000Z;2023-11-18T21:46:50.052000Z;csv;;;;;;
false;sOc;SMA-3011495435-SI;%;1;;2022-03-21T13:57:55.178000Z;2023-11-18T21:46:50.052000Z;csv;;;;;;
false;tBat;SMA-3011495435-SI;DEG_C;1;;2022-03-21T13:57:55.178000Z;2023-11-18T21:46:50.052000Z;csv;;;;;;
false;vBat;SMA-3011495435-SI;V;1;;2022-03-21T13:57:55.178000Z;2023-11-18T21:46:50.052000Z;csv;;;;;;
false;pAcHome;AI1-100000002c6d944f-OM;W;1;;2023-06-15T11:49:50.020000Z;2023-11-18T21:46:50.022000Z;csv;;;;;;
false;iAcGrid;SMA-3009111859-EDMM;A;1;;2022-02-18T14:04:50.008000Z;2023-09-01T02:52:50.007000Z;csv;;;;;;
false;iAcGrid;SMA-3009111859-EDMM;A;2;;2022-02-18T14:04:50.008000Z;2023-09-01T02:52:50.007000Z;csv;;;;;;
false;iAcGrid;SMA-3009111859-EDMM;A;3;;2022-02-18T14:04:50.008000Z;2023-09-01T02:52:50.007000Z;csv;;;;;;
false;pAcGrid;SMA-3009111859-EDMM;W;1;;2022-02-18T14:04:50.008000Z;2023-09-01T02:52:50.007000Z;csv;;;;;;
false;pAcGrid;SMA-3009111859-EDMM;W;2;;2022-02-18T14:04:50.008000Z;2023-09-01T02:52:50.007000Z;csv;;;;;;
false;pAcGrid;SMA-3009111859-EDMM;W;3;;2022-02-18T14:04:50.008000Z;2023-09-01T02:52:50.007000Z;csv;;;;;;
false;pAcPvTot;SMA-3009111859-EDMM;W;1;;2022-02-18T14:04:50.003000Z;2023-09-01T02:52:50.003000Z;csv;;;;;;
false;iBat;SMA-3011495437-SI;A;1;;2022-07-13T12:11:50.144000Z;2023-08-31T22:47:50.048000Z;csv;;;;;;
false;pBat;SMA-3011495437-SI;W;1;;2022-07-13T12:11:50.144000Z;2023-08-31T22:47:50.048000Z;csv;;;;;;
false;sOc;SMA-3011495437-SI;%;1;;2022-07-13T12:11:50.144000Z;2023-08-31T22:47:50.048000Z;csv;;;;;;
false;tBat;SMA-3011495437-SI;DEG_C;1;;2022-07-13T12:11:50.144000Z;2023-08-31T22:47:50.048000Z;csv;;;;;;
false;vBat;SMA-3011495437-SI;V;1;;2022-07-13T12:11:50.144000Z;2023-08-31T22:47:50.048000Z;csv;;;;;;
false;pAcHome;AI4-100000000e70c8ee-OM;W;1;;2023-05-02T14:52:50.022000Z;2023-08-31T22:47:50.014000Z;csv;;;;;;
false;iBat;VIC-GXHQ2104SU78C-100;A;1;AI11;2021-10-20T10:15:50.729000Z;2026-03-26T18:21:50.095000Z;csv;;;;;;
false;pAcGrid;VIC-GXHQ2104SU78C-100;W;1;AI11;2021-10-20T10:15:50.729000Z;2026-03-26T18:21:50.095000Z;csv;;;;;;
false;pAcHome;VIC-GXHQ2104SU78C-100;W;1;AI11;2021-10-20T10:15:50.729000Z;2026-03-26T18:21:50.095000Z;csv;;;;;;
false;pBat;VIC-GXHQ2104SU78C-100;W;1;AI11;2021-10-20T10:15:50.729000Z;2026-03-26T18:21:50.095000Z;csv;;;;;;
false;sOc;VIC-GXHQ2104SU78C-100;;1;AI11;2021-10-20T10:15:50.729000Z;2026-03-26T18:21:50.095000Z;csv;;;;;;
false;vBat;VIC-GXHQ2104SU78C-100;V;1;AI11;2021-10-20T10:15:50.729000Z;2026-03-26T18:21:50.095000Z;csv;;;;;;
false;tBat;VIC-GXHQ2104SU78C-227;DEG_C;1;AI11;2021-10-20T10:15:50.729000Z;2026-03-26T18:21:50.095000Z;csv;;;;;;
false;iAcGrid;VIC-GXHQ2104SU78C-30;A;1;AI11;2021-10-20T10:15:50.729000Z;2026-03-26T18:21:50.095000Z;csv;;;;;;
false;iBat;VIC-GXHQ2050IDGL2-100;A;1;AI12;2021-10-20T10:15:50.729000Z;2026-03-26T18:21:50.095000Z;csv;;;;;;
false;pAcGrid;VIC-GXHQ2050IDGL2-100;W;1;AI12;2021-10-20T10:15:50.729000Z;2026-03-26T18:21:50.095000Z;csv;;;;;;
false;pAcHome;VIC-GXHQ2050IDGL2-100;W;1;AI12;2021-10-20T10:15:50.729000Z;2026-03-26T18:21:50.095000Z;csv;;;;;;
false;pBat;VIC-GXHQ2050IDGL2-100;W;1;AI12;2021-10-20T10:15:50.729000Z;2026-03-26T18:21:50.095000Z;csv;;;;;;
false;sOc;VIC-GXHQ2050IDGL2-100;;1;AI12;2021-10-20T10:15:50.729000Z;2026-03-26T18:21:50.095000Z;csv;;;;;;
false;vBat;VIC-GXHQ2050IDGL2-100;V;1;AI12;2021-10-20T10:15:50.729000Z;2026-03-26T18:21:50.095000Z;csv;;;;;;
false;tBat;VIC-GXHQ2050IDGL2-228;DEG_C;1;AI12;2021-10-20T10:15:50.729000Z;2026-03-26T18:21:50.095000Z;csv;;;;;;
false;iAcGrid;VIC-GXHQ2050IDGL2-40;A;1;AI12;2021-10-20T10:15:50.729000Z;2026-03-26T18:21:50.095000Z;csv;;;;;;
false;iBat;VIC-GXHQ2104LN3BG-100;A;1;AI13;2021-10-20T10:15:50.729000Z;2026-03-26T18:21:50.095000Z;csv;;;;;;
false;pAcGrid;VIC-GXHQ2104LN3BG-100;W;1;AI13;2021-10-20T10:15:50.729000Z;2026-03-26T18:21:50.095000Z;csv;;;;;;
false;pAcHome;VIC-GXHQ2104LN3BG-100;W;1;AI13;2021-10-20T10:15:50.729000Z;2026-03-26T18:21:50.095000Z;csv;;;;;;
false;pBat;VIC-GXHQ2104LN3BG-100;W;1;AI13;2021-10-20T10:15:50.729000Z;2026-03-26T18:21:50.095000Z;csv;;;;;;
false;sOc;VIC-GXHQ2104LN3BG-100;;1;AI13;2021-10-20T10:15:50.729000Z;2026-03-26T18:21:50.095000Z;csv;;;;;;
false;vBat;VIC-GXHQ2104LN3BG-100;V;1;AI13;2021-10-20T10:15:50.729000Z;2026-03-26T18:21:50.095000Z;csv;;;;;;
false;tBat;VIC-GXHQ2104LN3BG-227;DEG_C;1;AI13;2021-10-20T10:15:50.729000Z;2026-03-26T18:21:50.095000Z;csv;;;;;;
