measurement_id;device_id;device_tag;measurement_index;unit;time_min;time_max
iAcGrid;SMA-3008628290-EDMM;https://react2020.eu/device/SMA-3008628290-EDMM;1;A;2022-02-18T14:44:50.016000Z;2026-03-26T17:39:50.010000Z
iAcGrid;SMA-3008628290-EDMM;https://react2020.eu/device/SMA-3008628290-EDMM;2;A;2022-02-18T14:44:50.016000Z;2026-03-26T17:39:50.010000Z
iAcGrid;SMA-3008628290-EDMM;https://react2020.eu/device/SMA-3008628290-EDMM;3;A;2022-02-18T14:44:50.016000Z;2026-03-26T17:39:50.010000Z
pAcGrid;SMA-3008628290-EDMM;https://react2020.eu/device/SMA-3008628290-EDMM;1;W;2022-02-18T14:44:50.015000Z;2026-03-26T17:39:50.010000Z
pAcGrid;SMA-3008628290-EDMM;https://react2020.eu/device/SMA-3008628290-EDMM;2;W;2022-02-18T14:44:50.015000Z;2026-03-26T17:39:50.010000Z
pAcGrid;SMA-3008628290-EDMM;https://react2020.eu/device/SMA-3008628290-EDMM;3;W;2022-02-18T14:44:50.015000Z;2026-03-26T17:39:50.010000Z
pAcPvTot;SMA-3008628290-EDMM;https://react2020.eu/device/SMA-3008628290-EDMM;1;W;2022-02-18T14:44:50.003000Z;2026-03-26T17:39:50.003000Z
iBat;SMA-3011495435-SI;https://react2020.eu/device/SMA-3011495435-SI;1;A;2022-03-21T13:57:55.178000Z;2023-11-18T21:46:50.052000Z
pBat;SMA-3011495435-SI;https://react2020.eu/device/SMA-3011495435-SI;1;W;2022-03-21T14:26:50.150000Z;2023-11-18T21:46:50.052000Z
sOc;SMA-3011495435-SI;https://react2020.eu/device/SMA-3011495435-SI;1;%;2022-03-21T13:57:55.178000Z;2023-11-18T21:46:50.052000Z
tBat;SMA-3011495435-SI;https://react2020.eu/device/SMA-3011495435-SI;1;DEG_C;2022-03-21T13:57:55.178000Z;2023-11-18T21:46:50.052000Z
vBat;SMA-3011495435-SI;https://react2020.eu/device/SMA-3011495435-SI;1;V;2022-03-21T13:57:55.178000Z;2023-11-18T21:46:50.052000Z
pAcHome;AI1-100000002c6d944f-OM;https://react2020.eu/device/AI1-100000002c6d944f-OM;1;W;2023-06-15T11:49:50.020000Z;2023-11-18T21:46:50.022000Z
iAcGrid;SMA-3009111859-EDMM;https://react2020.eu/device/SMA-3009111859-EDMM;1;A;2022-02-18T14:04:50.008000Z;2023-09-01T02:52:50.007000Z
iAcGrid;SMA-3009111859-EDMM;https://react2020.eu/device/SMA-3009111859-EDMM;2;A;2022-02-18T14:04:50.008000Z;2023-09-01T02:52:50.007000Z
iAcGrid;SMA-3009111859-EDMM;https://react2020.eu/device/SMA-3009111859-EDMM;3;A;2022-02-18T14:04:50.008000Z;2023-09-01T02:52:50.007000Z
pAcGrid;SMA-3009111859-EDMM;https://react2020.eu/device/SMA-3009111859-EDMM;1;W;2022-02-18T14:04:50.008000Z;2023-09-01T02:52:50.007000Z
pAcGrid;SMA-3009111859-EDMM;https://react2020.eu/device/SMA-3009111859-EDMM;2;W;2022-02-18T14:04:50.008000Z;2023-09-01T02:52:50.007000Z
pAcGrid;SMA-3009111859-EDMM;https://react2020.eu/device/SMA-3009111859-EDMM;3;W;2022-02-18T14:04:50.008000Z;2023-09-01T02:52:50.007000Z
pAcPvTot;SMA-3009111859-EDMM;https://react2020.eu/device/SMA-3009111859-EDMM;1;W;2022-02-18T14:04:50.003000Z;2023-09-01T02:52:50.003000Z
iBat;SMA-3011495437-SI;https://react2020.eu/device/SMA-3011495437-SI;1;A;2022-07-13T12:11:50.144000Z;2023-08-31T22:47:50.048000Z
pBat;SMA-3011495437-SI;https://react2020.eu/device/SMA-3011495437-SI;1;W;2022-07-13T12:11:50.144000Z;2023-08-31T22:47:50.048000Z
sOc;SMA-3011495437-SI;https://react2020.eu/device/SMA-3011495437-SI;1;%;2022-07-13T12:11:50.144000Z;2023-08-31T22:47:50.048000Z
tBat;SMA-3011495437-SI;https://react2020.eu/device/SMA-3011495437-SI;1;DEG_C;2022-07-13T12:11:50.144000Z;2023-08-31T22:47:50.048000Z
vBat;SMA-3011495437-SI;https://react2020.eu/device/SMA-3011495437-SI;1;V;2022-07-13T12:11:50.144000Z;2023-08-31T22:47:50.048000Z
pAcHome;AI4-100000000e70c8ee-OM;https://react2020.eu/device/AI4-100000000e70c8ee-OM;1;W;2023-05-02T14:52:50.022000Z;2023-08-31T22:47:50.014000Z
