measurement_id,device_id,device_tag,measurement_index,unit,time_min,time_max
iBat,VIC-GXHQ2104SU78C-100,https://react2020.eu/device/VIC-GXHQ2104SU78C-100,1,A,2021-10-20T10:15:50.729000Z,2026-03-26T18:21:50.095000Z
pAcGrid,VIC-GXHQ2104SU78C-100,https://react2020.eu/device/VIC-GXHQ2104SU78C-100,1,W,2021-10-20T10:15:50.510000Z,2026-03-26T18:21:50.061000Z
pAcHome,VIC-GXHQ2104SU78C-100,https://react2020.eu/device/VIC-GXHQ2104SU78C-100,1,W,2021-10-20T10:15:50.346000Z,2026-03-26T18:21:50.061000Z
pBat,VIC-GXHQ2104SU78C-100,https://react2020.eu/device/VIC-GXHQ2104SU78C-100,1,W,2021-10-20T10:15:50.736000Z,2026-03-26T18:21:50.095000Z
sOc,VIC-GXHQ2104SU78C-100,https://react2020.eu/device/VIC-GXHQ2104SU78C-100,1,,2021-10-20T10:15:50.742000Z,2026-03-26T18:21:50.095000Z
vBat,VIC-GXHQ2104SU78C-100,https://react2020.eu/device/VIC-GXHQ2104SU78C-100,1,V,2021-10-20T10:15:50.722000Z,2026-03-26T18:21:50.095000Z
tBat,VIC-GXHQ2104SU78C-227,https://react2020.eu/device/VIC-GXHQ2104SU78C-227,1,DEG_C,2021-10-20T10:15:50.716000Z,2026-03-26T18:21:50.021000Z
iAcGrid,VIC-GXHQ2104SU78C-30,https://react2020.eu/device/VIC-GXHQ2104SU78C-30,1,A,2021-10-20T10:15:50.369000Z,2026-03-26T18:21:50.053000Z
iBat,VIC-GXHQ2050IDGL2-100,https://react2020.eu/device/VIC-GXHQ2050IDGL2-100,1,A,2022-06-20T11:02:40.015000Z,2023-10-19T08:44:50.008000Z
pAcGrid,VIC-GXHQ2050IDGL2-100,https://react2020.eu/device/VIC-GXHQ2050IDGL2-100,1,W,2022-06-20T11:02:40.006000Z,2023-10-19T08:44:50.005000Z
